"Applied Date","Last Update","Company Name","Location","Position","Status","Source","Email Subject","Notes"
"2026-04-10","","ShrinQ Consulting Group Inc","","Software Engineer","Pending","LinkedIn","Shreya, your application was sent to ShrinQ Consulting Group Inc","Position inferred from email body; location unavailable in parsed body."
"2026-04-09","","MedPro Group","","Intern - Application Developer","Pending","Direct","Application Received for Guest - Intern - Application Developer",""
"2026-04-09","","New Millennium","","Software Engineer","Rejected","iCIMS","Thank You For Your Application","Rejected in the same email."
"2026-04-09","","American Axle & Manufacturing","","Controls & IT College Co-Op","Pending","Workday","Thank You For Applying to AAM!",""
"2026-04-09","","MedPro Group","","Intern - IT Deskside Support","Pending","Direct","Application Received for Guest - Intern - IT Deskside Support",""
"2026-04-09","","Tech Consulting","Arizona, United States","Software Engineer","Pending","LinkedIn","Shreya, your application was sent to Tech Consulting",""
"2026-04-09","","SynergisticIT","","Unknown","Pending","LinkedIn","Shreya, your application was sent to SynergisticIT","Role not exposed in email summary."
"2026-04-09","","Brand Payments","","Unknown","Pending","LinkedIn","Shreya, your application was sent to Brand Payments","Role not exposed in email summary."
"2026-04-09","","FuelCloud","","Unknown","Pending","LinkedIn","Shreya, your application was sent to FuelCloud","Role not exposed in email summary."
"2026-04-09","","Fuze Health","","Unknown","Pending","Greenhouse","Thank you for applying to Fuze Health","Role not exposed in confirmation email."
"2026-04-09","","Webologix Ltd/ INC","","Unknown","Pending","LinkedIn","Shreya, your application was sent to Webologix Ltd/ INC","Role not exposed in email summary."
"2026-04-09","","CHAOS Industries","","Unknown","Pending","Greenhouse","Thank you for applying to CHAOS Industries!","Role not exposed in confirmation email."
"2026-04-09","","Profound","","Software Engineer, New Grad","Pending","Ashby","Thanks for applying to Profound!",""
"2026-04-09","","Daxwell","","Frontend Developer","Action Required","Quickbase","Next steps on your application for Frontend Developer","Company identified from sender; recruiter requested a solo project as next step."
"2026-04-09","","Live Nation Entertainment","","Software Developer","Pending","Workday","Application Acknowledgement - Software Developer",""
"2026-04-09","","Franklin Electric","","Software Engineer II","Pending","Pinpoint","Application Received",""
"2026-04-09","","Ratio TX","","Junior Data Engineer","Pending","BambooHR","Thank you for applying at Ratio TX",""
"2026-04-09","","Garmin","","Software Engineer 1 - Embedded Aviation","Pending","iCIMS","Thank you for applying at Garmin",""
"2026-04-09","","twentyAI","New York City Metropolitan Area","Software Engineer","Pending","LinkedIn","Shreya, your application was sent to twentyAI",""
"2026-04-09","","Garmin","","Software Engineer 1","Pending","iCIMS","Thank you for applying at Garmin",""
"2026-04-09","","DOJO Air","","AI-Native Mobile Software Developer","Pending","LinkedIn","Your application to AI-Native Mobile Software Developer at DOJO Air","Duplicate LinkedIn confirmation collapsed into one row."
"2026-04-09","","Emonics LLC","","Unknown","Pending","LinkedIn","Shreya, your application was sent to Emonics LLC","Role not exposed in email summary."
